name,artist_name,playcount,listeners
Garbage,twenty one pilots,566458,90909
Not Allowed,TV Girl,33737890,1506354
Still Into You,Paramore,23204368,1768978
The Contract,twenty one pilots,3882250,183929
Nobody New,The Marías,4574033,493451
ARE WE STILL FRIENDS?,"Tyler, The Creator",27817955,1639498
Come as You Are,Nirvana,36555310,3619646
DAISIES,Justin Bieber,3337900,472728
What It Sounds Like,HUNTR/X,4659990,363297
Please Please Please,Sabrina Carpenter,32261090,1561711
"Girl, so confusing featuring lorde",Charli xcx,12614951,890872
Tonight,PinkPantheress,7945659,592579
Poker Face,Lady Gaga,38015652,3362545
My Kind of Woman,Mac DeMarco,24620545,1597687
Cherry Waves,Deftones,18779181,1169907
Weird Fishes / Arpeggi,Radiohead,6945400,763196
Judas,Lady Gaga,30042782,1742071
CHIHIRO,Billie Eilish,27284504,1369797
Starboy,The Weeknd,29870539,2115950
Why'd You Only Call Me When You're High?,Arctic Monkeys,37318120,2468629
For the First Time,Mac DeMarco,22262262,1428825
SLOW DANCING IN THE DARK,Joji,31671206,1615609
GO!,CORTIS,928180,102183
Money Trees,Kendrick Lamar,31673646,1952184
Borderline,Tame Impala,24487009,1666050
The Happy Dictator (feat. Sparks),Gorillaz,309466,91168
Cry,Cigarettes After Sex,20733646,1197723
White Ferrari,Frank Ocean,35247731,1524184
"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",The Smiths,17524356,1256294
Karma Police,Radiohead,38847272,3106946
CRAZY,LE SSERAFIM,16220820,738473
She,"Tyler, The Creator",23127553,1205220
"After the Storm (feat. Tyler, the Creator & Bootsy Collins)",Kali Uchis,22362489,1523456
Thinkin Bout You,Frank Ocean,32439242,2028799
Ivy,Frank Ocean,39294441,1721207
Promiscuous,Nelly Furtado,18806727,2002517
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Rocky,14225048,871909
Back To Me,The Marías,5092555,494352
The Night We Met,Lord Huron,27579783,1659908
Do I Wanna Know?,Arctic Monkeys,40687431,2668831
It's ok I'm ok,Tate McRae,11595834,576918
Eyes Without a Face,Billy Idol,13819890,1248847
Debut,KATSEYE,6670415,457926
The Adults Are Talking,The Strokes,24339840,1436309
Heart to Heart,Mac DeMarco,20177028,1296333
Downstairs,twenty one pilots,569529,83106
The Chain - 2004 Remaster,Fleetwood Mac,18160353,1507350
This Charming Man - 2011 Remaster,The Smiths,21716417,1458859
Takedown,HUNTR/X,4502945,379918
Break Stuff,Limp Bizkit,19468908,1687181
cardigan,Taylor Swift,41774612,1436812
Bad Habit,Steve Lacy,30002725,1711567
Exit Music (for a Film),Radiohead,26927940,2167447
Misery Business,Paramore,33625207,2495314
Tiramisu,Don Toliver,490694,118715
My Kink Is Karma,Chappell Roan,17119267,919028
I'll Take Care of You (feat. Yebba),"Tyler, The Creator",2883311,449939
august,Taylor Swift,40263189,1289699
EARFQUAKE,"Tyler, The Creator",36044584,1936759
Robot Voices,twenty one pilots,531897,81320
Die for You,The Weeknd,30084596,1805407
Numb,Linkin Park,32323466,2823083
Good Looking,Suki Waterhouse,18580652,1249454
Rich Man,aespa,1204134,118177
She's My Collar (feat. Kali Uchis),Gorillaz,11926024,1057201
Center Mass,twenty one pilots,584441,79642
Paparazzi,Lady Gaga,29090462,2595022
Sweet Boy,Malcolm Todd,3357546,316710
greedy,Tate McRae,21092953,1149239
NIGHTS LIKE THIS,The Kid LAROI,15258937,877545
Passionfruit,Drake,24280766,1429164
Aerials,System of a Down,19698384,1936081
One Way,twenty one pilots,558370,77950
Washing Machine Heart,Mitski,32109106,1702887
Smells Like Teen Spirit,Nirvana,38247739,3811650
Toxicity,System of a Down,26086372,2365823
David,Lorde,3678075,365363
Everybody Wants to Rule the World,Tears for Fears,28001151,2541268
lacy,Olivia Rodrigo,17720077,907941
free,Rumi,4571166,337896
Vienna,Billy Joel,15820211,1273138
Yellow,Coldplay,35946013,3361163
Cottonwood,twenty one pilots,509911,77129
"STICKY (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",13175874,1122288
No One Noticed (Extended Spanish),The Marías,5131792,611408
tv off (feat. Lefty Gunplay),Kendrick Lamar,14159364,1102529
Toxic,Britney Spears,27195283,2786430
King for a Day,Pierce the Veil,17505837,910761
The Color Violet,Tory Lanez,23790411,967905
"New Person, Same Old Mistakes",Tame Impala,20097212,1550913
RATHER LIE (with The Weeknd),Playboi Carti,8725536,541844
São Paulo (feat. Anitta),The Weeknd,9779753,650570
Nights,Frank Ocean,37588756,1510489
I Bet on Losing Dogs,Mitski,28473901,1298611
Tally,twenty one pilots,552184,75462
Champagne Coast,Blood Orange,13292264,829035
supernatural,Ariana Grande,15096187,703339
Telephone,Lady Gaga,19324959,1638010
Don’t Smile,Sabrina Carpenter,11056028,642195
NEW MAGIC WAND,"Tyler, The Creator",29459316,1659966
Supermassive Black Hole,Muse,32185552,2701408
Days Lie Dormant,twenty one pilots,476530,73893
Silver Springs - 2004 Remaster,Fleetwood Mac,8457752,707865
the boy is mine,Ariana Grande,22582267,947217
Feather,Sabrina Carpenter,25248130,1269518
Heartbeat,Childish Gambino,17719722,1278051
Clint Eastwood,Gorillaz,20609686,2455444
Blue Hair,TV Girl,18338951,1226966
Stargirl Interlude,The Weeknd,34172331,1677557
Somewhere I Belong,Linkin Park,18366328,1763446
Not Like Us,Kendrick Lamar,27165487,1781800
Slow Dance,Clairo,5551465,582737
PRIDE.,Kendrick Lamar,29985263,1677522
Nonsense,Sabrina Carpenter,26310003,1330546
Take Me Out,Franz Ferdinand,29042014,2937933
that’s so true,Gracie Abrams,18184896,876012
Helena,My Chemical Romance,22809420,1763095
Alright,Kendrick Lamar,28507092,1742220
20 Min,Lil Uzi Vert,20833046,1154780
No Broke Boys,Disco Lines,1662920,254390
Just Like Heaven,The Cure,23763044,2134980
The Hills,The Weeknd,24651585,1935900
Cigarette Daydreams,Cage the Elephant,22213084,1574537
Show Me How,Men I Trust,24354292,1499123
Bad Romance,Lady Gaga,35668683,2841952
Stateside,PinkPantheress,5813309,432696
Daddy Issues,The Neighbourhood,27135472,1690912
Chamber of Reflection,Mac DeMarco,24381384,1664477
Gimme More,Britney Spears,22184808,1912049
Dog House (feat. Julia Wolf & Yeat),Drake,397763,94578
Intentions,twenty one pilots,462442,71341
360,Charli xcx,30064282,1475494
High and Dry,Radiohead,26037434,2347464
"I Love You, I'm Sorry",Gracie Abrams,17177749,788963
Softcore,The Neighbourhood,22683583,1335825
Fashion Killa,A$AP Rocky,13805998,977769
NOKIA,Drake,8084694,621866
The Blonde,TV Girl,13264207,1021385
Let It Happen,Tame Impala,22089475,1545792
Amoeba,Clairo,17943718,1017359
Scar Tissue,Red Hot Chili Peppers,24920994,2583205
90210 (feat. Kacy Hill),Travis Scott,22692599,1036603
I Wonder,Kanye West,29000411,1838560
Tek It,Cafuné,17174621,1120543
Only Girl (In the World),Rihanna,21728405,2105392
What Was That,Lorde,9216672,587936
Whiplash,aespa,13554200,486790
Billie Jean,Michael Jackson,22334397,2859485
Style,Taylor Swift,30599760,1429581
Location,Playboi Carti,22555796,1056287
Maneater,Nelly Furtado,19848584,2005813
Ditto,NewJeans,31609028,898399
365,Charli xcx,19643690,1169940
Novacane,Frank Ocean,22824681,1341636
Sofia,Clairo,24110241,1532495
LoveGame,Lady Gaga,19976549,1911465
Rhinestone Eyes,Gorillaz,16809133,1659121
Supercut,Lorde,18973084,984159
Kiss Me More (feat. SZA),Doja Cat,26118019,1704961
